date,user_id,type,value
2019-06-13T00:27:10.746Z,2311,mood,2.04190301895
2019-07-02T12:32:01.594Z,5333,sleep,2.88
2018-12-18T15:02:58.215Z,3473,mood,3.12
2018-10-16T17:35:27.550Z,970,sleep,3.84
2018-12-13T13:01:13.291Z,1109,sleep,3.0
2018-11-26T15:45:23.243Z,3246,ruminationStress,3.44
2019-07-23T12:10:33.251Z,3044,mood,2.36492681503
2018-11-18T10:50:04.132Z,2012,mood,1.0
2019-07-02T12:45:34.408Z,2025,mood,1.48
2019-05-01T20:31:02.310Z,1514,ruminationStress,0.0
2019-03-06T17:01:02.539Z,3782,mood,4.0
2019-02-26T15:28:00.776Z,3314,sleep,1.6400001
2019-06-29T21:23:24.089Z,6445,sleep,0.79999995
2018-10-01T13:10:35.791Z,2012,mood,1.48
2019-05-26T13:05:36.059Z,2283,anticipatoryStress,1.91472434998
2018-12-10T16:02:46.511Z,1044,mood,1.6800001
2019-05-10T22:47:46.911Z,7707,mood,2.8400002
2019-06-23T18:23:08.957Z,2012,sleep,3.16
2018-09-09T21:30:24.564Z,1074,sleep,3.12
2019-07-09T00:13:28.346Z,1514,sleep,1.30110502243
2019-05-09T14:05:54.451Z,4500,mood,3.0
2019-05-15T13:34:00.607Z,2025,sleep,3.24
2018-11-30T14:24:30.132Z,1673,sleep,1.8399999
2019-05-22T13:15:41.108Z,1714,sleep,4.0
2019-05-26T05:41:39.144Z,7618,sleep,4.0
2018-12-14T21:17:30.328Z,7329,mood,2.0
2019-02-17T13:25:06.025Z,5333,sleep,4.0
2018-11-06T14:47:54.145Z,7019,sleep,3.73695397377
2018-09-27T23:46:07.142Z,2802,mood,2.12
2019-06-19T14:35:48.419Z,2666,mood,3.65953922272
2018-11-23T13:23:44.027Z,2666,sleep,2.1599998
2018-11-02T14:57:28.545Z,2802,mood,2.3200002
2019-06-07T22:50:38.920Z,1074,mood,0.79999995
2018-12-14T14:29:10.914Z,2972,mood,3.0
2019-03-14T12:01:40.801Z,1269,mood,1.5999999
